nodes, serial_time, parallel_2_threads, parallel_4_threads, parallel_6_threads, parallel_8_threads, parallel_10_threads, parallel_12_threads
100,160,334,411,433,489,687,1654
250,444,823,793,820,1096,1104,1426
500,1326,2263,1642,1619,2113,2350,11705
1000,6745,5058,3355,3694,5483,11863,18491
1500,13869,8879,6478,8149,8544,9145,21366
2000,24980,14121,10390,12685,11114,13685,50155
2500,37287,20777,15161,15128,15418,15101,33433
3000,57580,31550,22981,19844,20053,17978,25836
3500,79469,47222,30359,28750,27305,23383,37732
4000,114326,57790,44498,34466,30897,33035,44701
4500,160776,87617,48617,44410,37570,40610,49806
5000,207449,126217,74927,60877,47476,45969,54144
